role,fully_qualified_name,file,line,kind,landed_cycle,depends_on_pi_transcendental,proof_body_calls_axiom_directly,paper_track
direct,OmegaTheory.Irrationality.HermitePade.pi_stratum_integer,OmegaTheory/Irrationality/HermitePade/PiStratum.lean,110,theorem,pre-c44,true,true,research
direct,OmegaTheory.IrrationalityClasses.ic_three_constants_transcendental,OmegaTheory/IrrationalityClasses/Wave4Landings.lean,121,theorem,c44-Wave4-C,true,true,research
direct,OmegaTheory.IrrationalityClasses.ic_pi_Mahler_S_conditional,OmegaTheory/IrrationalityClasses/Wave4Landings.lean,161,theorem,c44-Wave4-C,true,true,research
transitive,OmegaTheory.Irrationality.HermitePade.pi_stratum_vector,OmegaTheory/Irrationality/HermitePade/PiStratum.lean,146,theorem,pre-c44,true,false,research
narrowed_companion,OmegaTheory.Irrationality.HermitePade.pi_stratum_integer_degree_one_narrowed,OmegaTheory/Irrationality/HermitePade/PiStratumIntegerNarrowed.lean,104,theorem,c52-Halley,false,false,paper-eligible
narrowed_companion,OmegaTheory.Irrationality.HermitePade.pi_stratum_integer_degree_two_narrowed,OmegaTheory/Irrationality/HermitePade/PiStratumIntegerNarrowed.lean,130,theorem,c52-Halley,false,false,paper-eligible
narrowed_companion,OmegaTheory.Irrationality.HermitePade.pi_stratum_integer_degree_three_narrowed,OmegaTheory/Irrationality/HermitePade/PiStratumIntegerNarrowed.lean,164,theorem,c52-Halley,false,false,paper-eligible
narrowed_companion,OmegaTheory.IrrationalityClasses.PiStratumDegreeFour.pi_stratum_integer_degree_four_narrowed,OmegaTheory/IrrationalityClasses/PiStratumDegreeFour.lean,c59-W9,theorem,c59-Wezen-2,false,false,paper-eligible
narrowed_companion,OmegaTheory.IrrationalityClasses.ic_three_constants_paper_headline_irrationality_only,OmegaTheory/IrrationalityClasses/Wave4LandingsHeadline.lean,c58-W-Phase1-B,theorem,c58-Hyades,false,false,paper-headline
narrowed_companion,OmegaTheory.IrrationalityClasses.AxiomNarrowing.ic_pi_Mahler_S_conditional_axiom_narrowed,OmegaTheory/IrrationalityClasses/AxiomNarrowing.lean,c53-Atria,theorem,c53-Atria,false,false,paper-eligible
narrowed_companion,OmegaTheory.IrrationalityClasses.AxiomNarrowingExtensions.ic_three_constants_axiom_narrowed,OmegaTheory/IrrationalityClasses/AxiomNarrowingExtensions.lean,c55-Atria,theorem,c55-Atria,false,false,paper-eligible
audit,OmegaTheory.Irrationality.HermitePade.PiTranscendentalBlastRadiusAuditV2.pi_transcendental_blast_radius_audit_dump_csv_v2,OmegaTheory/Irrationality/HermitePade/PiTranscendentalBlastRadiusAuditV2.lean,c60-Sagittarius-A,theorem,c60-Sagittarius-A,false,false,audit-registry
